Fecha,Ciudad,Temperatura Maxima,Temperatura Minima,Precipitacion,Velocidad del Viento,Humedad Relativa
19/1/2023,Cordoba,27,18,0.0,33.7,35.8
19/1/2023,Rosario,31,15,0.0,16.8,54.6
19/1/2023,Mendoza,22,21,0.0,39.4,82.3
19/1/2023,Tucuman,24,21,65.0,34.9,88.1
20/1/2023,Buenos Aires,33,17,0.0,38.6,48.0
20/1/2023,Cordoba,21,20,53.6,14.8,69.7
20/1/2023,Rosario,25,20,0.0,11.2,33.6
20/1/2023,Mendoza,29,17,88.8,30.2,61.7
20/1/2023,Tucuman,31,20,0.0,21.3,88.8
21/1/2023,Buenos Aires,29,22,0.0,28.2,58.7
21/1/2023,Cordoba,22,20,0.0,23.7,50.2
21/1/2023,Rosario,21,19,0.0,27.7,69.6
21/1/2023,Mendoza,29,22,0.0,29.1,78.8
21/1/2023,Tucuman,30,15,0.0,20.1,38.9
22/1/2023,Buenos Aires,25,21,0.0,33.2,87.5
22/1/2023,Cordoba,23,19,0.0,35.4,86.1
22/1/2023,Rosario,32,18,0.0,30.5,69.4
22/1/2023,Mendoza,22,21,0.0,17.2,40.1
22/1/2023,Tucuman,28,18,0.0,23.7,88.8
23/1/2023,Buenos Aires,22,16,0.0,22.1,54.0
23/1/2023,Cordoba,25,15,0.0,22.0,55.9
23/1/2023,Rosario,28,15,0.0,31.8,62.2
23/1/2023,Mendoza,34,19,0.0,10.9,74.2
23/1/2023,Tucuman,33,22,0.0,38.8,36.2
24/1/2023,Buenos Aires,28,20,0.0,25.7,51.9
24/1/2023,Cordoba,29,20,62.2,21.2,43.4
24/1/2023,Rosario,21,18,0.0,18.0,34.0
24/1/2023,Mendoza,22,19,0.0,33.2,57.4
24/1/2023,Tucuman,33,16,0.0,20.5,76.9
25/1/2023,Buenos Aires,35,20,3.5,21.8,82.7
25/1/2023,Cordoba,32,15,0.0,25.0,52.6
25/1/2023,Rosario,33,20,0.0,18.3,61.5
25/1/2023,Mendoza,29,20,5.6,10.1,40.7
25/1/2023,Tucuman,30,22,0.0,39.0,60.5
26/1/2023,Buenos Aires,27,19,0.0,18.0,82.6
26/1/2023,Cordoba,31,20,0.0,35.8,57.5
26/1/2023,Rosario,29,20,105.7,39.8,52.6
26/1/2023,Mendoza,21,18,0.0,16.5,40.0
26/1/2023,Tucuman,21,18,0.0,33.3,80.7
27/1/2023,Buenos Aires,25,18,101.1,13.1,39.4
27/1/2023,Cordoba,33,19,0.0,27.0,44.8
27/1/2023,Rosario,30,20,117.1,21.8,44.5
27/1/2023,Mendoza,34,15,0.0,22.2,52.6
27/1/2023,Tucuman,34,21,0.0,36.9,76.2
28/1/2023,Buenos Aires,22,16,34.6,13.4,42.7
28/1/2023,Cordoba,27,17,0.0,24.6,30.0
28/1/2023,Rosario,24,18,25.0,16.5,81.5
28/1/2023,Mendoza,26,17,0.0,31.8,68.2
28/1/2023,Tucuman,32,16,0.0,18.8,72.9
29/1/2023,Buenos Aires,32,18,12.9,24.2,82.9
29/1/2023,Cordoba,35,20,0.0,36.7,74.2
29/1/2023,Rosario,25,22,0.0,15.3,59.0
29/1/2023,Mendoza,24,15,112.5,18.5,50.4
29/1/2023,Tucuman,32,21,0.0,36.2,59.5
30/1/2023,Buenos Aires,22,17,0.0,19.5,56.8
30/1/2023,Cordoba,25,21,0.0,31.8,47.4
30/1/2023,Rosario,33,16,0.0,33.1,74.2
30/1/2023,Mendoza,26,15,0.0,23.5,64.1
30/1/2023,Tucuman,25,20,0.0,22.0,55.0
31/1/2023,Buenos Aires,24,17,0.0,36.3,85.1
31/1/2023,Cordoba,31,17,0.0,37.0,33.4
31/1/2023,Rosario,33,20,0.0,21.0,50.5
31/1/2023,Mendoza,30,16,0.0,24.5,84.1
31/1/2023,Tucuman,22,16,0.0,33.2,43.0
1/2/2023,Buenos Aires,32,21,0.0,24.3,79.2
1/2/2023,Cordoba,33,22,39.6,14.2,43.6
1/2/2023,Rosario,30,21,0.0,31.6,50.2
1/2/2023,Mendoza,30,17,26.1,14.9,47.5
1/2/2023,Tucuman,26,19,0.0,35.6,83.4
2/2/2023,Buenos Aires,27,20,0.0,19.7,49.0
2/2/2023,Cordoba,36,20,8.3,32.0,40.6
2/2/2023,Rosario,24,15,0.0,26.0,47.4
2/2/2023,Mendoza,27,15,110.6,31.7,63.6
2/2/2023,Tucuman,27,18,104.9,16.4,76.3
3/2/2023,Buenos Aires,28,15,0.0,32.1,35.9
3/2/2023,Cordoba,25,16,0.0,27.8,30.6
3/2/2023,Rosario,26,20,5.3,25.6,31.8
3/2/2023,Mendoza,25,17,0.0,18.6,57.4
3/2/2023,Tucuman,35,22,0.0,27.7,75.2
4/2/2023,Buenos Aires,23,21,76.8,33.3,80.9
4/2/2023,Cordoba,34,16,0.0,24.1,34.1
4/2/2023,Rosario,34,18,0.0,17.6,45.9
4/2/2023,Mendoza,24,21,0.0,28.8,73.7
4/2/2023,Tucuman,28,22,78.3,24.3,88.2
5/2/2023,Buenos Aires,32,17,0.0,34.7,44.0
5/2/2023,Cordoba,24,15,0.0,31.1,55.1
5/2/2023,Rosario,27,16,0.0,11.5,87.9
5/2/2023,Mendoza,23,17,0.1,18.3,41.2
5/2/2023,Tucuman,34,19,31.8,29.2,61.2
6/2/2023,Buenos Aires,25,17,16.9,35.8,67.1
6/2/2023,Cordoba,25,15,0.0,20.6,37.2
6/2/2023,Rosario,34,22,0.0,10.5,88.0
6/2/2023,Mendoza,23,16,35.5,18.0,79.7
6/2/2023,Tucuman,36,15,0.0,24.2,56.3
7/2/2023,Buenos Aires,31,15,0.0,23.2,45.8
7/2/2023,Cordoba,35,15,108.7,26.6,81.1
7/2/2023,Rosario,36,17,75.7,39.6,66.2
7/2/2023,Mendoza,22,16,0.0,38.7,49.8
7/2/2023,Tucuman,30,16,0.0,19.9,77.5
8/2/2023,Buenos Aires,31,20,0.0,13.1,53.8
8/2/2023,Cordoba,30,21,0.0,10.7,68.0
8/2/2023,Rosario,21,16,96.0,19.5,79.6
8/2/2023,Mendoza,32,19,0.0,22.8,83.6
8/2/2023,Tucuman,25,19,0.0,34.0,85.4
9/2/2023,Buenos Aires,36,17,0.0,39.5,71.8
9/2/2023,Cordoba,26,20,0.0,31.6,85.5
9/2/2023,Rosario,24,20,0.0,31.2,69.0
9/2/2023,Mendoza,28,20,97.9,18.3,52.2
9/2/2023,Tucuman,33,17,0.0,10.6,54.0
10/2/2023,Buenos Aires,28,19,106.6,29.6,50.7
10/2/2023,Cordoba,34,17,11.8,11.2,79.0
10/2/2023,Rosario,27,20,0.0,15.1,38.9
10/2/2023,Mendoza,24,20,118.0,39.8,37.1
10/2/2023,Tucuman,32,21,0.0,16.1,64.0
11/2/2023,Buenos Aires,29,22,0.0,10.1,55.5
11/2/2023,Cordoba,36,16,0.0,18.3,40.2
11/2/2023,Rosario,28,17,0.0,27.1,60.7
11/2/2023,Mendoza,33,16,0.0,21.9,87.3
11/2/2023,Tucuman,32,22,0.0,30.8,85.0
12/2/2023,Buenos Aires,26,21,0.0,38.7,88.8
12/2/2023,Cordoba,26,20,0.0,22.9,32.1
12/2/2023,Rosario,31,22,0.0,33.8,48.0
12/2/2023,Mendoza,28,15,0.0,10.6,36.1
12/2/2023,Tucuman,32,20,0.0,11.5,49.9
13/2/2023,Buenos Aires,26,17,0.0,10.7,79.9
13/2/2023,Cordoba,22,19,0.0,36.0,47.7
13/2/2023,Rosario,34,17,81.3,28.6,35.9
13/2/2023,Mendoza,28,16,0.0,21.9,40.0
13/2/2023,Tucuman,22,19,106.0,33.2,89.7
14/2/2023,Buenos Aires,31,19,0.0,34.7,82.0
14/2/2023,Cordoba,23,21,5.3,19.2,63.5
14/2/2023,Rosario,26,21,0.0,33.0,61.7
14/2/2023,Mendoza,34,21,0.0,31.1,87.0
14/2/2023,Tucuman,35,16,0.0,22.4,71.2
15/2/2023,Buenos Aires,33,20,42.7,27.3,34.5
15/2/2023,Cordoba,35,22,0.0,31.2,76.0
15/2/2023,Rosario,23,18,0.0,38.7,46.7
15/2/2023,Mendoza,28,22,0.0,38.3,32.2
15/2/2023,Tucuman,24,22,0.0,16.6,46.5
16/2/2023,Buenos Aires,23,15,0.0,25.1,62.4
16/2/2023,Cordoba,34,17,0.0,15.0,63.4
16/2/2023,Rosario,30,22,0.0,28.5,89.1
16/2/2023,Mendoza,36,17,0.0,16.0,59.2
16/2/2023,Tucuman,34,21,0.0,37.0,62.2
17/2/2023,Buenos Aires,34,19,0.0,17.8,33.6
17/2/2023,Cordoba,26,20,0.0,11.5,36.1
17/2/2023,Rosario,31,21,0.0,32.5,89.9
17/2/2023,Mendoza,33,18,0.0,22.3,47.8
17/2/2023,Tucuman,22,16,55.3,36.5,72.1
18/2/2023,Buenos Aires,35,18,0.0,18.5,36.2
18/2/2023,Cordoba,21,19,0.0,35.1,59.0
18/2/2023,Rosario,27,22,0.0,25.8,62.3
18/2/2023,Mendoza,25,17,118.0,23.8,79.0
18/2/2023,Tucuman,32,17,0.0,30.1,80.6
19/2/2023,Buenos Aires,23,16,53.1,19.6,58.5
19/2/2023,Cordoba,36,17,85.5,11.7,47.5
19/2/2023,Rosario,36,21,80.1,25.9,78.1
19/2/2023,Mendoza,25,18,0.0,20.8,84.0
19/2/2023,Tucuman,34,19,0.0,11.3,43.7
20/2/2023,Buenos Aires,27,20,0.0,37.9,70.0
20/2/2023,Cordoba,24,18,0.0,11.4,41.9
20/2/2023,Rosario,31,20,0.0,31.3,77.4
20/2/2023,Mendoza,34,17,78.0,26.7,74.5
20/2/2023,Tucuman,23,18,0.0,22.9,85.4
21/2/2023,Buenos Aires,34,20,0.0,24.7,73.1
21/2/2023,Cordoba,32,21,0.0,25.0,72.1
21/2/2023,Rosario,28,20,0.0,35.9,65.2
21/2/2023,Mendoza,23,17,96.6,35.4,54.9
21/2/2023,Tucuman,23,20,0.0,37.6,87.6
22/2/2023,Buenos Aires,34,17,0.0,26.4,50.4
22/2/2023,Cordoba,24,19,0.0,27.7,73.3
22/2/2023,Rosario,35,22,0.0,17.7,74.4
22/2/2023,Mendoza,31,20,92.3,31.6,88.7
22/2/2023,Tucuman,27,18,0.0,40.0,37.9
23/2/2023,Buenos Aires,31,21,0.0,13.0,74.9
23/2/2023,Cordoba,23,18,0.0,37.6,54.7
23/2/2023,Rosario,22,17,0.0,29.7,36.4
23/2/2023,Mendoza,31,16,0.0,21.5,53.6
23/2/2023,Tucuman,33,19,0.0,15.4,36.7
24/2/2023,Buenos Aires,33,21,0.0,32.0,83.4
24/2/2023,Cordoba,21,19,0.0,19.2,82.5
24/2/2023,Rosario,31,18,0.0,29.2,36.1
24/2/2023,Mendoza,28,15,0.0,25.6,57.1
24/2/2023,Tucuman,36,15,0.0,34.1,34.0
25/2/2023,Buenos Aires,32,19,0.0,30.2,58.2
25/2/2023,Cordoba,36,18,91.6,26.9,57.4
25/2/2023,Rosario,32,20,0.0,22.0,71.7
25/2/2023,Mendoza,25,17,0.0,18.4,52.6
25/2/2023,Tucuman,31,15,0.0,11.3,55.9
26/2/2023,Buenos Aires,28,15,0.0,17.3,50.3
26/2/2023,Cordoba,32,15,0.0,39.5,38.6
26/2/2023,Rosario,23,18,0.0,13.3,64.0
26/2/2023,Mendoza,31,20,0.0,35.5,32.0
26/2/2023,Tucuman,27,21,0.0,19.2,86.7
27/2/2023,Buenos Aires,21,18,0.4,14.6,42.2
27/2/2023,Cordoba,24,17,0.0,34.2,85.6
27/2/2023,Rosario,33,22,0.0,18.6,40.0
27/2/2023,Mendoza,26,21,0.0,22.8,31.5
27/2/2023,Tucuman,22,18,59.2,34.6,34.8
28/2/2023,Buenos Aires,25,16,0.0,36.7,78.4
28/2/2023,Cordoba,33,17,0.0,28.5,53.1
28/2/2023,Rosario,30,19,0.0,36.5,87.5
28/2/2023,Mendoza,28,17,32.8,15.0,70.0
28/2/2023,Tucuman,28,21,84.1,27.0,58.6
1/3/2023,Buenos Aires,35,21,0.0,15.3,40.3
1/3/2023,Cordoba,28,22,8.9,33.1,62.6
1/3/2023,Rosario,30,22,0.0,21.1,43.2
1/3/2023,Mendoza,28,19,0.0,11.8,78.7
1/3/2023,Tucuman,26,18,0.0,35.1,46.7
2/3/2023,Buenos Aires,28,21,0.0,10.5,49.6
2/3/2023,Cordoba,30,17,67.1,31.1,67.4
2/3/2023,Rosario,30,17,0.0,24.6,30.8
2/3/2023,Mendoza,33,20,0.0,14.6,77.0
2/3/2023,Tucuman,34,20,0.0,13.0,59.0
3/3/2023,Buenos Aires,25,22,36.2,35.3,48.9
3/3/2023,Cordoba,28,20,0.0,30.9,88.2
3/3/2023,Rosario,26,17,0.0,24.7,66.6
3/3/2023,Mendoza,36,21,0.0,18.5,56.7
3/3/2023,Tucuman,25,19,0.0,38.4,38.0
4/3/2023,Buenos Aires,31,22,0.0,16.3,50.8
4/3/2023,Cordoba,28,21,0.0,36.1,66.5
4/3/2023,Rosario,30,19,0.0,11.3,38.8
4/3/2023,Mendoza,32,18,0.0,13.1,35.0
4/3/2023,Tucuman,26,18,16.9,17.6,70.0
5/3/2023,Buenos Aires,36,16,0.0,13.4,63.5
5/3/2023,Cordoba,35,22,0.0,34.8,74.8
5/3/2023,Rosario,24,20,0.0,37.7,67.0
5/3/2023,Mendoza,30,21,0.0,18.6,47.1
5/3/2023,Tucuman,24,19,0.0,18.1,37.8
6/3/2023,Buenos Aires,22,21,0.0,37.8,62.2
6/3/2023,Cordoba,34,20,0.0,11.3,37.1
6/3/2023,Rosario,22,15,17.8,10.4,57.4
6/3/2023,Mendoza,24,16,73.8,14.8,73.8
6/3/2023,Tucuman,21,19,0.0,26.0,86.6
7/3/2023,Buenos Aires,29,20,0.0,13.8,82.6
7/3/2023,Cordoba,27,21,0.0,13.8,87.9
7/3/2023,Rosario,24,19,0.0,14.5,39.7
7/3/2023,Mendoza,27,20,0.0,23.8,37.8
7/3/2023,Tucuman,34,17,0.0,30.9,40.6
8/3/2023,Buenos Aires,36,21,0.0,32.0,50.5
8/3/2023,Cordoba,25,21,74.0,15.2,82.5
8/3/2023,Rosario,23,18,0.0,31.6,58.8
8/3/2023,Mendoza,25,17,0.0,25.7,45.0
8/3/2023,Tucuman,27,22,0.0,14.8,55.0
9/3/2023,Buenos Aires,33,19,0.0,10.8,46.3
9/3/2023,Cordoba,35,20,57.0,11.1,40.8
9/3/2023,Rosario,28,22,0.0,18.0,33.7
9/3/2023,Mendoza,26,22,68.6,10.0,38.7
9/3/2023,Tucuman,23,17,0.0,39.4,53.8
10/3/2023,Buenos Aires,31,21,0.0,17.2,86.6
10/3/2023,Cordoba,34,20,0.0,39.2,33.0
10/3/2023,Rosario,31,18,0.0,17.6,74.9
10/3/2023,Mendoza,33,17,0.0,27.0,70.1
10/3/2023,Tucuman,32,18,0.0,34.1,72.8
11/3/2023,Buenos Aires,22,18,0.0,10.8,49.1
11/3/2023,Cordoba,21,19,83.1,24.7,38.1
11/3/2023,Rosario,26,18,0.0,39.0,47.7
11/3/2023,Mendoza,21,16,0.0,20.3,86.9
11/3/2023,Tucuman,24,17,0.0,24.2,80.1
12/3/2023,Buenos Aires,33,18,0.0,39.2,70.8
12/3/2023,Cordoba,24,22,0.0,11.3,41.1
12/3/2023,Rosario,32,20,0.0,30.0,79.2
12/3/2023,Mendoza,33,16,0.0,10.9,56.1
12/3/2023,Tucuman,35,22,39.9,29.3,52.0
13/3/2023,Buenos Aires,34,19,85.0,16.5,36.9
13/3/2023,Cordoba,28,18,0.0,34.5,62.4
13/3/2023,Rosario,25,22,0.0,27.2,43.5
13/3/2023,Mendoza,21,19,85.6,22.8,82.9
13/3/2023,Tucuman,23,21,0.0,17.4,46.7
14/3/2023,Buenos Aires,22,15,0.0,34.9,80.6
14/3/2023,Cordoba,22,18,0.0,12.4,62.5
14/3/2023,Rosario,29,19,0.0,31.7,47.3
14/3/2023,Mendoza,22,20,0.0,27.1,47.7
14/3/2023,Tucuman,21,20,0.0,26.2,67.9
15/3/2023,Buenos Aires,26,20,116.1,29.5,60.4
15/3/2023,Cordoba,22,21,0.0,13.1,75.4
15/3/2023,Rosario,23,20,0.0,25.9,68.7
15/3/2023,Mendoza,29,20,0.0,38.6,61.7
15/3/2023,Tucuman,26,18,0.0,18.0,77.5
16/3/2023,Buenos Aires,27,19,1.3,38.9,43.1
16/3/2023,Cordoba,33,20,114.2,27.5,48.2
16/3/2023,Rosario,31,20,0.0,17.5,46.6
16/3/2023,Mendoza,32,18,0.0,12.2,30.3
16/3/2023,Tucuman,22,20,93.2,21.6,71.2
17/3/2023,Buenos Aires,29,18,0.0,19.7,84.8
17/3/2023,Cordoba,36,17,0.0,25.9,62.6
17/3/2023,Rosario,36,22,0.0,22.2,87.8
17/3/2023,Mendoza,36,19,0.0,36.8,40.6
17/3/2023,Tucuman,31,19,0.0,34.6,85.4
18/3/2023,Buenos Aires,30,17,0.0,18.8,68.3
18/3/2023,Cordoba,25,22,6.3,26.0,30.9
18/3/2023,Rosario,30,21,58.6,22.7,49.6
18/3/2023,Mendoza,28,19,81.9,30.1,55.3
18/3/2023,Tucuman,23,20,0.0,37.3,60.2
19/3/2023,Buenos Aires,26,16,0.0,39.4,44.8
19/3/2023,Cordoba,21,18,0.0,31.7,36.8
19/3/2023,Rosario,31,19,0.0,18.6,60.1
19/3/2023,Mendoza,24,18,0.0,20.1,41.4
19/3/2023,Tucuman,29,19,0.0,21.0,83.6
20/3/2023,Buenos Aires,23,16,0.0,35.1,86.1
20/3/2023,Cordoba,23,21,0.0,12.1,43.6
20/3/2023,Rosario,21,18,0.0,37.7,88.5
20/3/2023,Mendoza,34,21,0.0,18.2,52.8
20/3/2023,Tucuman,32,16,0.0,20.6,45.8
21/3/2023,Buenos Aires,30,16,43.2,19.0,52.3
21/3/2023,Cordoba,26,21,0.0,13.7,57.9
21/3/2023,Rosario,36,18,0.0,21.4,86.8
21/3/2023,Mendoza,34,21,97.4,32.5,47.3
21/3/2023,Tucuman,25,19,0.0,32.2,61.6
22/3/2023,Buenos Aires,31,17,0.0,28.3,87.7
22/3/2023,Cordoba,24,20,0.0,27.6,76.4
22/3/2023,Rosario,28,15,0.0,17.4,41.6
22/3/2023,Mendoza,36,19,33.3,20.6,83.7
22/3/2023,Tucuman,24,15,0.0,10.2,78.6
23/3/2023,Buenos Aires,35,21,0.0,20.8,84.5
23/3/2023,Cordoba,22,19,0.0,10.9,59.1
23/3/2023,Rosario,36,18,0.0,31.6,63.6
23/3/2023,Mendoza,25,18,0.0,36.0,48.8
23/3/2023,Tucuman,26,15,0.0,12.4,74.9
24/3/2023,Buenos Aires,28,20,3.2,36.3,67.4
24/3/2023,Cordoba,21,17,0.0,14.8,57.6
24/3/2023,Rosario,30,17,0.0,18.1,35.9
24/3/2023,Mendoza,26,21,0.0,25.3,77.6
24/3/2023,Tucuman,27,20,89.0,21.4,66.1
25/3/2023,Buenos Aires,26,22,0.0,30.1,58.3
25/3/2023,Cordoba,29,16,0.0,35.5,44.1
25/3/2023,Rosario,34,16,0.0,14.6,48.7
25/3/2023,Mendoza,29,22,0.0,16.5,81.7
25/3/2023,Tucuman,31,15,0.0,18.5,47.2
26/3/2023,Buenos Aires,35,16,108.2,23.8,52.0
26/3/2023,Cordoba,33,20,0.0,15.7,66.2
26/3/2023,Rosario,23,18,104.4,32.9,57.9
26/3/2023,Mendoza,33,22,0.0,15.3,88.4
26/3/2023,Tucuman,30,19,0.0,13.5,79.1
27/3/2023,Buenos Aires,33,18,106.1,20.7,75.4
27/3/2023,Cordoba,24,19,0.0,31.0,81.5
27/3/2023,Rosario,23,20,0.0,12.7,55.3
27/3/2023,Mendoza,23,20,54.5,38.3,38.4
27/3/2023,Tucuman,35,17,0.0,21.0,74.6
28/3/2023,Buenos Aires,32,18,86.3,26.0,78.1
28/3/2023,Cordoba,35,18,0.0,13.1,61.1
28/3/2023,Rosario,35,19,0.0,18.5,39.3
28/3/2023,Mendoza,22,19,0.0,33.8,76.4
28/3/2023,Tucuman,22,19,85.9,25.2,57.7
29/3/2023,Buenos Aires,32,15,0.0,35.4,57.3
29/3/2023,Cordoba,36,20,0.0,10.4,66.7
29/3/2023,Rosario,27,16,74.1,34.4,59.9
29/3/2023,Mendoza,33,19,0.0,33.2,56.9
29/3/2023,Tucuman,23,15,0.0,22.3,34.6
30/3/2023,Buenos Aires,26,18,0.0,27.5,48.3
30/3/2023,Cordoba,34,19,0.0,38.9,69.7
30/3/2023,Rosario,34,21,0.0,19.4,42.5
30/3/2023,Mendoza,36,18,0.0,19.5,66.9
30/3/2023,Tucuman,31,21,0.0,33.6,54.9
31/3/2023,Buenos Aires,21,18,53.7,33.8,79.6
31/3/2023,Cordoba,36,22,0.0,30.2,87.2
31/3/2023,Rosario,35,18,0.0,16.1,64.2
31/3/2023,Mendoza,28,22,0.0,24.0,75.2
31/3/2023,Tucuman,27,22,0.0,33.3,34.6
1/4/2023,Buenos Aires,16,9,0.0,39.5,60.0
1/4/2023,Cordoba,22,11,0.0,26.4,86.3
1/4/2023,Rosario,14,10,0.0,27.8,66.7
1/4/2023,Mendoza,23,11,0.0,34.1,58.3
1/4/2023,Tucuman,15,10,63.8,15.3,57.9
2/4/2023,Buenos Aires,12,11,0.0,38.4,58.1
2/4/2023,Cordoba,22,10,0.0,12.8,48.4
2/4/2023,Rosario,19,13,0.0,37.1,47.2
2/4/2023,Mendoza,23,12,0.0,23.9,56.1
2/4/2023,Tucuman,16,13,0.0,37.1,57.0
3/4/2023,Buenos Aires,14,12,0.0,28.1,50.4
3/4/2023,Cordoba,14,12,0.0,36.4,39.3
3/4/2023,Rosario,21,12,0.0,33.1,49.7
3/4/2023,Mendoza,17,10,0.0,36.5,52.1
3/4/2023,Tucuman,23,12,0.0,35.7,35.6
4/4/2023,Buenos Aires,22,13,0.0,19.2,71.7
4/4/2023,Cordoba,13,12,0.0,23.0,46.7
4/4/2023,Rosario,24,10,117.6,18.0,87.8
4/4/2023,Mendoza,14,12,18.3,39.6,49.6
4/4/2023,Tucuman,16,13,0.0,26.5,37.4
5/4/2023,Buenos Aires,17,13,0.0,33.8,49.7
5/4/2023,Cordoba,23,12,0.0,20.7,31.1
5/4/2023,Rosario,12,9,14.6,40.0,46.2
5/4/2023,Mendoza,16,11,54.9,31.0,80.8
5/4/2023,Tucuman,20,12,0.0,30.7,54.0
